lamore|true|2402
576.1298217773438,23.494110107421875,-575.2981567382812|-0.7658489942550659,-3.241268586862134e-07,0.6430204510688782|-2.456437471209938e-07,1,2.1150316342755104e-07|Running
575.728515625,23.494110107421875,-575.0000610351562|-0.7762589454650879,-1.700158946960073e-07,0.6304141879081726|-1.3146510013939405e-07,1,1.0780997428128103e-07|Running
575.32958984375,23.494110107421875,-574.6987915039062|-0.7823032736778259,-1.3050713221218757e-07,0.622897744178772|-1.019379425315492e-07,1,8.14913079238977e-08|Running
574.9301147460938,23.494115829467773,-574.3981323242188|-0.7868674397468567,-1.2667015880651888e-07,0.6171220541000366|-9.921490118358633e-08,1,7.875456731198938e-08|Running
574.5303955078125,23.494115829467773,-574.097900390625|-0.7903541922569275,-1.1908080921330111e-07,0.6126501560211182|-9.34660775442353e-08,1,7.379333766266427e-08|Running
574.1304321289062,23.494115829467773,-573.7979125976562|-0.7930006980895996,-8.889870883876938e-08,0.6092207431793213|-7.01424482940638e-08,1,5.462010221890523e-08|Running
573.73046875,23.494115829467773,-573.4979248046875|-0.7949272990226746,-1.1500831931243738e-07,0.6067047119140625|-9.126824096483688e-08,1,6.99791868896682e-08|Running
573.4297485351562,23.494115829467773,-573.27392578125|-0.796360194683075,-8.648906657526823e-08,0.6048226356506348|-6.878052971615034e-08,1,5.243684242373092e-08|Running
573.02783203125,23.494115829467773,-572.9765625|-0.7984144687652588,-3.684520066826735e-08,0.6021082401275635|-2.949030353249782e-08,1,2.2088579854084855e-08|Running
572.6257934570312,23.494115829467773,-572.6792602539062|-0.7999501824378967,-2.322066272597567e-08,0.6000663638114929|-1.8834333204154063e-08,1,1.3588717706625175e-08|Running
572.2236328125,23.488739013671875,-572.3819580078125|-0.8010665774345398,-2.909669838402351e-08,0.598575234413147|-2.3714529007179408e-08,1,1.6873036301490174e-08|Running
571.9220581054688,23.491832733154297,-572.158935546875|-0.8016790747642517,-4.0591231709186104e-08,0.597754716873169|-3.303081896888216e-08,1,2.3606869348213877e-08|Running
571.5199584960938,23.49344825744629,-571.861572265625|-0.8023200631141663,-6.086013826234193e-08,0.5968940854072571|-4.9402910207163586e-08,1,3.555604877192309e-08|Running
