wasabi|true|3418
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,1.4655992863765732e-08,-0.9988024234771729|3.053697739119343e-08,1,1.3177746893688891e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,2.3005823024391248e-08,-0.9988024234771729|4.7934435087881866e-08,1,2.068539473043529e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,2.3005823024391248e-08,-0.9988024234771729|4.7934435087881866e-08,1,2.068539473043529e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,3.135208359594799e-08,-0.9988024234771729|6.532444984941321e-08,1,2.8189830914016056e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,3.9694775466614374e-08,-0.9988024234771729|8.270703233392851e-08,1,3.5691058997144864e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,4.8033896860033565e-08,-0.9988024234771729|1.0008218254142776e-07,1,4.3189082532535394e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,5.636945488163292e-08,-0.9988024234771729|1.1744990757733831e-07,1,5.068389441476029e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,5.636945488163292e-08,-0.9988024234771729|1.1744990757733831e-07,1,5.068389441476029e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,4.7527393576274335e-08,-0.9988024234771729|9.902679920514856e-08,1,4.273366371876364e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,3.8689108805556316e-08,-0.9988024234771729|8.06115707518984e-08,1,3.47868329697576e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,2.985460412219254e-08,-0.9988024234771729|6.220422221758781e-08,1,2.684340039138533e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,2.102387952618301e-08,-0.9988024234771729|4.380473583864841e-08,1,1.8903362430933157e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,1.2196929688457203e-08,-0.9988024234771729|2.5413116944150715e-08,1,1.0966721752936337e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,1.2196929688457203e-08,-0.9988024234771729|2.5413116944150715e-08,1,1.0966721752936337e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,3.373753942881308e-09,-0.9988024234771729|7.029360649113414e-09,1,3.0334741385473762e-09|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-5.445649264856911e-09,-0.9988024234771729|-1.134653881962322e-08,1,-4.89638152245675e-09|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-1.4261281933158898e-08,-0.9988024234771729|-2.9714584570683655e-08,1,-1.2822846784388275e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-2.3073145172247678e-08,-0.9988024234771729|-4.80747814890492e-08,1,-2.0745922313381016e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-3.188123898212325e-08,-0.9988024234771729|-6.642713401561195e-08,1,-2.866561032988102e-08|Running
