Mt Forever|true|20028
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7055988907814026,0,0.7086115479469299|1.0793798077557426e-09,1.0000001192092896,1.074790811905757e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7055988907814026,0,0.7086115479469299|5.982388362468782e-09,1.0000001192092896,5.95695404115304e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7055988907814026,0,0.7086115479469299|1.088120527015235e-08,1.0000001192092896,1.0834944497162269e-08|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7055988907814026,0,0.7086115479469299|1.577584107792518e-08,1.0000001192092896,1.5708769396383104e-08|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7055988907814026,0,0.7086115479469299|1.7793931661458373e-08,1.0000001192092896,1.7718280176381995e-08|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7055988907814026,0,0.7086115479469299|1.1196887861331106e-08,1.0000001192092896,1.1149284162570439e-08|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7055988907814026,0,0.7086115479469299|4.605493764131552e-09,1.0000001192092896,4.585913870869263e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7055988907814026,0,0.7086115479469299|-1.980262842593561e-09,1.0000001192092896,-1.9718437993532234e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7055988907814026,0,0.7086115479469299|-8.560385289513306e-09,1.0000001192092896,-8.523991290587674e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7055988907814026,0,0.7086115479469299|-1.5134881792278065e-08,1.0000001192092896,-1.507053504212763e-08|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7055988907814026,0,0.7086115479469299|-1.3535225384941896e-08,1.0000001192092896,-1.3477680305129525e-08|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7055988907814026,0,0.7086115479469299|-9.215251672856084e-09,1.0000001192092896,-9.176072346406272e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7055988907814026,0,0.7086115479469299|-4.898968342104126e-09,1.0000001192092896,-4.878140558162158e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7055988907814026,0,0.7086115479469299|-5.863712848608316e-10,1.0000001192092896,-5.83878334570187e-10|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7055988907814026,0,0.7086115479469299|3.722542052386757e-09,1.0000001192092896,3.7067158231707253e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7055988907814026,0,0.7086115479469299|8.02777488928541e-09,1.0000001192092896,7.993644857151594e-09|Running
