yahayuk zepetto|false|12018
-953.4302368164062,172.20907592773438,881.5316772460938|0.9605594873428345,-4.696620692357101e-08,-0.27807462215423584|4.6190926639155805e-08,1,-9.339495399274256e-09|Running
-953.4302368164062,172.20907592773438,881.5316772460938|0.9855782389640808,-4.6994649949283485e-08,-0.16922031342983246|4.608251558124721e-08,1,-9.317581373124995e-09|Running
-953.4302368164062,172.20907592773438,881.5316772460938|0.9945325255393982,-6.788181394767889e-08,-0.10442700982093811|6.683603004375982e-08,1,-1.3513794527852951e-08|Running
-952.8770751953125,172.20907592773438,881.201904296875|0.9976738095283508,-6.316712841680783e-08,-0.06816890090703964|6.245161898732476e-08,1,-1.2627259238229271e-08|Running
-951.8302612304688,172.20907592773438,880.6240234375|0.9992327690124512,-5.434907635049058e-08,-0.03916464000940323|5.3963155721703515e-08,1,-1.0910926384610775e-08|Running
-951.2979736328125,172.20907592773438,880.346923828125|0.9992330074310303,-2.503331053560487e-08,-0.03915834426879883|2.4855580704752356e-08,1,-5.025596383489983e-09|Running
-950.501220703125,172.04026794433594,879.9285888671875|0.9992334246635437,-3.748976595829845e-08,-0.03914725035429001|3.722366415104261e-08,1,-7.526313794414818e-09|Running
-950.0584106445312,171.92041015625,879.6963500976562|0.9996967315673828,-2.0745451578818574e-08,-0.024626316502690315|2.0648897702812974e-08,1,-4.175029655328899e-09|Running
-949.701904296875,171.79212951660156,879.5149536132812|0.9997640252113342,-1.6571844341228825e-08,-0.02172304503619671|1.6503252098232224e-08,1,-3.3368119378707206e-09|Running
-949.3442993164062,171.7683563232422,879.3358154296875|0.9999811053276062,-1.6509343225834527e-08,-0.006147976033389568|1.6489158483068422e-08,1,-3.3339602190096684e-09|Running
-948.8941040039062,171.778564453125,879.118408203125|0.9999430775642395,-2.05460466418117e-08,0.01067039929330349|2.0591643945522264e-08,1,-4.163443367843911e-09|Running
-948.6219482421875,171.78404235839844,878.9921875|0.9996035099029541,-1.2269260274422322e-08,0.028156988322734833|1.2344433031330482e-08,1,-2.4959303512872566e-09|Running
-948.256103515625,171.78875732421875,878.8304443359375|0.9989681839942932,-1.6278942638336957e-08,0.04541611298918724|1.6446941586423236e-08,1,-3.325416830790573e-09|Running
-947.517333984375,171.7928466796875,878.5232543945312|0.9980202913284302,-3.236898393765841e-08,0.06289318948984146|3.285177641032533e-08,1,-6.642314254179382e-09|Running
-946.9581298828125,171.79388427734375,878.3058471679688|0.9960677623748779,-2.406460808401789e-08,0.08859450370073318|2.4602043069421597e-08,1,-4.974288092540746e-09|Running
-946.1084594726562,171.79441833496094,878.0094604492188|0.9943711161613464,-3.584730379202483e-08,0.10595309734344482|3.684398919290288e-08,1,-7.4494659330071045e-09|Running
-945.060302734375,171.79454040527344,877.675537109375|0.9930721521377563,-4.355651839205166e-08,0.11750607192516327|4.49354153886361e-08,1,-9.08544706135217e-09|Running
-944.2943725585938,171.79454040527344,877.4449462890625|0.9919849634170532,-3.1519402199364777e-08,0.12635594606399536|3.261401815279896e-08,1,-6.594179424723734e-09|Running
-943.9107055664062,171.79454040527344,877.3316650390625|0.9900728464126587,-1.5661616004081225e-08,0.1405552327632904|1.6286119119968134e-08,1,-3.2928617610394895e-09|Running
-943.4293212890625,171.79454040527344,877.1963500976562|0.9887800812721252,-1.9495644210110186e-08,0.14937841892242432|2.033809742840731e-08,1,-4.112114204701811e-09|Running
-942.5603637695312,171.79454040527344,876.9623413085938|0.9874705672264099,-3.492955968908973e-08,0.15780328214168549|3.6553839066755245e-08,1,-7.390733358647594e-09|Running
-942.173095703125,171.79454040527344,876.8622436523438|0.9865369200706482,-1.5468737402102306e-08,0.1635388731956482|1.6223598464648603e-08,1,-3.2802112137630957e-09|Running
