Replay 1|true|798
-310.05865478515625,15.687385559082031,57.060550689697266|-0.8069593906402588,0.000008280744623334613,-0.5906069278717041|0.000006655322522419738,1,0.000004927421286993194|Running
-310.77154541015625,15.687385559082031,56.697593688964844|-0.8273370862007141,0.000004258346052665729,-0.5617057681083679|0.000003522102133501903,1,0.0000023933891952765407|Running
-311.4831237792969,15.695655822753906,56.332176208496094|-0.8417558670043945,0.0000022374492800736334,-0.5398584008216858|0.0000018881429468819988,1,0.0000012004886684735538|Running
-312.3123779296875,15.575468063354492,55.90492630004883|-0.8541284203529358,0.000001273318957828451,-0.5200621485710144|0.0000010910945320574683,1,6.564295631505956e-07|Running
-312.9027099609375,15.475662231445312,55.597084045410156|-0.8604170680046082,8.053247029238264e-07,-0.5095905661582947|6.956700531191018e-07,1,4.0573425508227956e-07|Running
-313.4929504394531,15.472110748291016,55.28894805908203|-0.8652366995811462,4.555462282951339e-07,-0.5013635754585266|3.962611856422882e-07,1,2.2476004346572154e-07|Running
-314.2006530761719,15.499103546142578,54.91812515258789|-0.8697208762168884,2.6623260396263504e-07,-0.4935438930988312|2.3292791695439519e-07,1,1.2896589396405034e-07|Running
-314.9084167480469,15.534915924072266,54.547401428222656|-0.8732239603996277,1.7067523572222854e-07,-0.48731914162635803|1.4993321428846684e-07,1,8.15686647115399e-08|Running
-315.49835205078125,15.56796646118164,54.23892593383789|-0.8755737543106079,1.4510480639273737e-07,-0.48308444023132324|1.278691428296952e-07,1,6.861312584760526e-08|Running
-316.4424743652344,15.621416091918945,53.745330810546875|-0.8785684108734131,1.3509229290775693e-07,-0.4776165187358856|1.194889449607217e-07,1,6.304865962647455e-08|Running
-317.03302001953125,15.647514343261719,53.43659973144531|-0.8799876570701599,1.178498507670156e-07,-0.47499650716781616|1.0441814879413869e-07,1,5.465969721285546e-08|Running
-317.7418212890625,15.669917106628418,53.066036224365234|-0.8813159465789795,1.2584433761730907e-07,-0.47252750396728516|1.1172986091878556e-07,1,5.793320312363903e-08|Running
-318.6888732910156,15.693214416503906,52.57561111450195|-0.8831261992454529,1.2054147191520315e-07,-0.46913546323776245|1.0720100362959784e-07,1,5.5142827193321864e-08|Running
-319.51910400390625,15.711631774902344,52.14954376220703|-0.8847087621688843,1.199802568407904e-07,-0.4661441445350647|1.0684973261732011e-07,1,5.45954890185385e-08|Running
-319.9951171875,15.719359397888184,51.908992767333984|-0.8857576251029968,1.2429677553882357e-07,-0.46414804458618164|1.108000944327614e-07,1,5.634999666881413e-08|Running
-321.4261474609375,15.704383850097656,51.19357681274414|-0.8892672657966614,1.2861501375027728e-07,-0.45738789439201355|1.1509903430351187e-07,1,5.7415618925915624e-08|Running
-323.0987854003906,15.61392593383789,50.37014389038086|-0.8930795192718506,1.206293944733261e-07,-0.449898898601532|1.0840285113999926e-07,1,5.29386454672931e-08|Running
-324.1826477050781,15.556553840637207,49.858341217041016|-0.8964633941650391,1.3887337502183073e-07,-0.44311782717704773|1.2518441394604451e-07,1,6.014233377982237e-08|Running
