Mount Anora|true|17490
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8640356063842773,0,-0.5034307241439819|-2.3991178821347603e-08,1,-4.117593732644309e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8640356063842773,0,-0.5034307241439819|-4.134659548071795e-08,1,-7.096294751818277e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8640356063842773,0,-0.5034307241439819|-5.0275613006078856e-08,1,-8.628777692365475e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8640356063842773,0,-0.5034307241439819|-3.397306613805995e-08,1,-5.830780125393176e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8640356063842773,0,-0.5034307241439819|-1.7684437025877742e-08,1,-3.035171047827134e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8640356063842773,0,-0.5034307241439819|-1.4097215617070447e-09,1,-2.4194981573799623e-09|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8640356063842773,0,-0.5034307241439819|1.485109724086442e-08,1,2.548886435249642e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8640356063842773,0,-0.5034307241439819|3.1098029040776964e-08,1,5.337339104016792e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8640356063842773,0,-0.5034307241439819|4.733108838195221e-08,1,8.123410566440725e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8640356063842773,0,-0.5034307241439819|3.97503256976961e-08,1,6.822327947020312e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8640356063842773,0,-0.5034307241439819|2.4246103791369933e-08,1,4.161346467412841e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8640356063842773,0,-0.5034307241439819|8.755125513459916e-09,1,1.502637836381382e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8640356063842773,0,-0.5034307241439819|-6.722627787780766e-09,1,-1.1538012323342173e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8640356063842773,0,-0.5034307241439819|-2.218716410595789e-08,1,-3.8079718933659024e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8640356063842773,0,-0.5034307241439819|-3.7638493211034074e-08,1,-6.459875123709935e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8640356063842773,0,-0.5034307241439819|-5.307663286657771e-08,1,-9.109515275440572e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8640356063842773,0,-0.5034307241439819|-3.628026234991921e-08,1,-6.226763105132704e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8640356063842773,0,-0.5034307241439819|-1.949823946745255e-08,1,-3.346472965404246e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8640356063842773,0,-0.5034307241439819|-2.730545123341699e-09,1,-4.6864210290209485e-09|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8640356063842773,0,-0.5034307241439819|1.4022830896465166e-08,1,2.4067315251841137e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8640356063842773,0,-0.5034307241439819|3.076189969419829e-08,1,5.2796494287576934e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8640356063842773,0,-0.5034307241439819|4.74866759248016e-08,1,8.150114183536061e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8640356063842773,0,-0.5034307241439819|4.01421722528994e-08,1,6.889580816960006e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8640356063842773,0,-0.5034307241439819|2.4789029495764225e-08,1,4.254528462865892e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8640356063842773,0,-0.5034307241439819|9.448998028460665e-09,1,1.621726752887298e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8640356063842773,0,-0.5034307241439819|-5.877934583509159e-09,1,-1.0088268886931928e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8640356063842773,0,-0.5034307241439819|-2.119178077464312e-08,1,-3.63713468232163e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8640356063842773,0,-0.5034307241439819|-3.64925440976549e-08,1,-6.263196894451539e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8640356063842773,0,-0.5034307241439819|-5.178025119789709e-08,1,-8.887018054792861e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8640356063842773,0,-0.5034307241439819|-3.5526198871593806e-08,1,-6.097343430155888e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8640356063842773,0,-0.5034307241439819|-1.9286032326704117e-08,1,-3.3100519658546546e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8640356063842773,0,-0.5034307241439819|-3.0597293587675267e-09,1,-5.251397983130346e-09|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8640356063842773,0,-0.5034307241439819|1.3152716249464902e-08,1,2.2573940938741544e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8640356063842773,0,-0.5034307241439819|2.9351319597026304e-08,1,5.0375522420154084e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8640356063842773,0,-0.5034307241439819|4.553608690116562e-08,1,7.815335578698068e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8640356063842773,0,-0.5034307241439819|4.530603447960857e-08,1,7.775852139957351e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8640356063842773,0,-0.5034307241439819|2.868219262097682e-08,1,4.9227104170768143e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8631805777549744,0,-0.5048953294754028|1.2122059800390161e-08,1,2.0724149507600487e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8631805777549744,0,-0.5048953294754028|-4.508008188963686e-09,1,-7.706993265799156e-09|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8614097237586975,0,-0.5079107284545898|-2.1221495671852608e-08,1,-3.599136988441387e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8605155944824219,0,-0.5094242691993713|-3.7992162305044985e-08,1,-6.417607067987774e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8605155944824219,0,-0.5094242691993713|-5.46854153071763e-08,1,-9.237418652219276e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8596503734588623,0,-0.5108828544616699|-3.793950753561148e-08,1,-6.383990580616228e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8596503734588623,0,-0.5108828544616699|-2.105018204190401e-08,1,-3.5420637090055607e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8596503734588623,0,-0.5108828544616699|-4.17529255614113e-09,1,-7.025665382798252e-09|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8596503734588623,0,-0.5108828544616699|8.471409351784587e-09,1,1.4254638358579541e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8596503734588623,0,-0.5108828544616699|2.953122901772076e-08,1,4.969149358657887e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8596503734588623,0,-0.5108828544616699|4.6362892192064464e-08,1,7.801372703397647e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8596503734588623,0,-0.5108828544616699|4.6365027372985423e-08,1,7.801732948564677e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8596503734588623,0,-0.5108828544616699|2.9559215519725512e-08,1,4.973858480639137e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8596503734588623,0,-0.5108828544616699|1.2767769952404251e-08,1,2.1484021672790732e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8596503734588623,0,-0.5108828544616699|-8.201357815096344e-09,1,-1.3800229403670983e-08|Running
