bisu|false|19868
-22.30987548828125,7.7945876121521,154.1104278564453|0.13571535050868988,4.2193430971337875e-08,-0.99074786901474|-4.934199271389161e-09,1,4.1911555115348165e-08|Running
-22.161588668823242,7.794586658477783,153.5543670654297|0.20692649483680725,-0.000004485681529331487,-0.9783564805984497|7.43179839446384e-07,1,-0.0000044277294364292175|Running
-21.908668518066406,7.794586658477783,153.0596923828125|0.29809948801994324,-0.000011963769793510437,-0.9545348286628723|0.0000026540369617578108,1,-0.000011704762073350139|Running
-21.551803588867188,7.794586658477783,152.6261444091797|0.3792325258255005,-0.000012799338037439156,-0.9253014326095581|0.000003755794750759378,1,-0.000012293311556277331|Running
-21.09934425354004,7.794586658477783,152.24859619140625|0.4474693834781647,-0.000009861971193458885,-0.8942992687225342|0.0000037097356653248426,1,-0.000009171402780339122|Running
-20.622148513793945,7.794586658477783,151.88546752929688|0.5042102336883545,-0.000006994255727477139,-0.8635809421539307|0.0000031829795261728577,1,-0.000006240717993932776|Running
-20.144329071044922,7.794586658477783,151.52267456054688|0.5512982606887817,-0.00000504767422171426,-0.8343082070350647|0.000002602281028885045,1,-0.000004330583578848746|Running
-19.66648292541504,7.794586658477783,151.15989685058594|0.5903981924057007,-0.0000037267479910951806,-0.8071121573448181|0.0000020842530830122996,1,-0.000003092765837209299|Running
-19.18862533569336,7.794587135314941,150.797119140625|0.6229159235954285,-0.000002762620169960428,-0.7822887897491455|0.0000016432394431831199,1,-0.000002222989905931172|Running
-18.710756301879883,7.794587135314941,150.434326171875|0.650015115737915,-0.000002041229208771256,-0.7599212527275085|0.000001277781734643213,1,-0.0000015931278767311596|Running
-18.232881546020508,7.794587135314941,150.07154846191406|0.6726517081260681,-0.0000015052373782964423,-0.7399592399597168|9.817250656851684e-07,1,-0.00000114179033516848|Running
-17.821542739868164,7.794587135314941,149.66954040527344|0.6376272439956665,-0.0000024225137167377397,-0.7703450322151184|0.0000015864710576352081,1,-0.0000018315641909794067|Running
-17.515037536621094,7.794586658477783,149.20635986328125|0.5805569291114807,-0.000006514862889162032,-0.8142196536064148|0.000004033539880765602,1,-0.000005125353254697984|Running
-17.31277847290039,7.794586658477783,148.68247985839844|0.524622917175293,-0.000007565939540654654,-0.8513346910476685|0.000004348084530647611,1,-0.0000062077047005004715|Running
-17.20612144470215,7.794586658477783,148.1028289794922|0.47391560673713684,-0.000006041106189513812,-0.8805702924728394|0.0000031384292924485635,1,-0.000005171370958123589|Running
