mount feels|false|16760
947.0037231445312,8.005921363830566,-139.35398864746094|-0.8162599802017212,1.988048836665257e-08,0.5776847004890442|4.237748374436023e-09,1,-2.842620361320769e-08|Running
946.5410766601562,8.005921363830566,-139.0266571044922|-0.8162599802017212,8.106956883580096e-09,0.5776847004890442|1.4478714893684241e-09,1,-1.1987710379912642e-08|Running
946.0784301757812,8.005921363830566,-138.69932556152344|-0.8162599802017212,-3.656507541194287e-09,0.5776847004890442|-1.3396208586868852e-09,1,4.436726097623023e-09|Running
945.6157836914062,8.005921363830566,-138.3719940185547|-0.8162599802017212,-1.5409913345365567e-08,0.5776847004890442|-4.124731223242861e-09,1,2.084711603345113e-08|Running
945.1531372070312,8.005921363830566,-138.04466247558594|-0.8162599802017212,-2.715326985480715e-08,0.5776847004890442|-6.907460825544831e-09,1,3.7243474082515604e-08|Running
944.6904907226562,8.005921363830566,-137.7173309326172|-0.8162599802017212,-3.888658639539244e-08,0.5776847004890442|-9.687812330128054e-09,1,5.362581489976037e-08|Running
944.2278442382812,8.005921363830566,-137.38999938964844|-0.8162599802017212,-5.060986651983512e-08,0.5776847004890442|-1.246578662517095e-08,1,6.999414381425595e-08|Running
943.7651977539062,8.005921363830566,-137.0626678466797|-0.8162599802017212,-6.232312443898991e-08,0.5776847004890442|-1.5241386819297986e-08,1,8.634847148414337e-08|Running
943.3025512695312,8.005921363830566,-136.73533630371094|-0.8162599802017212,-7.402636725828415e-08,0.5776847004890442|-1.8014617353401263e-08,1,1.0268881567299104e-07|Running
942.8399047851562,8.005921363830566,-136.4080047607422|-0.8162599802017212,-8.571959853043154e-08,0.5776847004890442|-2.07854746747671e-08,1,1.190151834862263e-07|Running
942.3772583007812,8.005921363830566,-136.08067321777344|-0.8162599802017212,-7.271645330320098e-08,0.5776847004890442|-1.7589227851999567e-08,1,1.0102235137310345e-07|Running
941.9146118164062,8.005921363830566,-135.7533416748047|-0.8162599802017212,-3.5048575597329545e-08,0.5776847004890442|-8.433523213113858e-09,1,4.875432324524809e-08|Running
941.4519653320312,8.005921363830566,-135.42601013183594|-0.8162599802017212,2.5870932063298824e-09,0.5776847004890442|7.143590718960979e-10,1,-3.4690039729667888e-09|Running
940.9893188476562,8.005921363830566,-135.0986785888672|-0.8162599802017212,4.0190581529486735e-08,0.5776847004890442|9.854422167165922e-09,1,-5.564767491250677e-08|Running
940.5266723632812,8.005921363830566,-134.77134704589844|-0.8162599802017212,7.776191779385044e-08,0.5776847004890442|1.898667356670103e-08,1,-1.0778172310210721e-07|Running
940.0640258789062,8.005921363830566,-134.4440155029297|-0.8162599802017212,6.186763812365825e-08,0.5776847004890442|1.5081781157277874e-08,1,-8.578552268545536e-08|Running
939.6013793945312,8.005921363830566,-134.11668395996094|-0.8162599802017212,4.598695824142851e-08,0.5776847004890442|1.118022918689121e-08,1,-6.380813033501909e-08|Running
939.1387329101562,8.005921363830566,-133.7893524169922|-0.8162599802017212,3.0119853278165465e-08,0.5776847004890442|7.282013214648941e-09,1,-4.184953894537102e-08|Running
938.6760864257812,8.005921363830566,-133.46202087402344|-0.8162599802017212,1.4266318792977017e-08,0.5776847004890442|3.387129909881992e-09,1,-1.990972009480174e-08|Running
