Mt Newbie|true|53710
490.7796630859375,28.00592041015625,282.0218505859375|0.9947947859764099,0,0.10189955681562424|4.0268899326179053e-10,1.0000001192092896,-3.931252656741435e-09|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9947947859764099,0,0.10189955681562424|4.079060644812671e-09,1.0000001192092896,-3.982184182405035e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9947947859764099,0,0.10189955681562424|7.752292141560702e-09,1.0000001192092896,-7.568178261863068e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9951450824737549,0,0.09841892868280411|6.865788826360131e-09,1,-6.942217822825114e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9954830408096313,0,0.09494014829397202|4.6936863284940955e-09,1.0000001192092896,-4.921506047139701e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9958087801933289,0,0.09146023541688919|2.6699240596173013e-09,1.0000001192092896,-2.906983453954126e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.995966911315918,0,0.08972125500440598|8.068498091873266e-10,1,-8.956581254437879e-09|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.995966911315918,0,0.08972125500440598|-1.003915395259014e-09,1,1.1144143385877214e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.995966911315918,0,0.08972125500440598|-2.8131343920989593e-09,1,3.122770309005318e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.995966911315918,0,0.08972125500440598|-4.620809068711651e-09,1,5.12941191743721e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9961221218109131,0,0.08798199146986008|-6.299761601269438e-09,1.0000001192092896,7.132518931030063e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9962742328643799,0,0.08624245226383209|-7.904747967302228e-09,1.0000001192092896,9.131577627385923e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9967122077941895,0,0.08102482557296753|-5.683359560748613e-09,1.0000001192092896,6.99128221981482e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9972532987594604,0,0.0740661546587944|-2.5952111570859415e-09,1.0000001192092896,3.49428539436758e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.998191237449646,0,0.060119133442640305|-2.294277615111362e-11,1.0000001192092896,3.8093161958130395e-10|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9987666606903076,0,0.04965147376060486|1.6846185557639615e-09,1.0000001192092896,-3.388702651818676e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9990894794464111,0,0.04266378656029701|2.9009752378073017e-09,1,-6.793428752871478e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9992986917495728,0,0.03744509071111679|2.7774704758343205e-09,1,-7.412246816329571e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9992986917495728,0,0.03744509071111679|1.971762308983216e-09,1,-5.2620503510070193e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9993623495101929,0,0.03570568189024925|1.1137741839917226e-09,1,-3.117330038548971e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9993623495101929,0,0.03570568189024925|3.48023693197419e-10,1,-9.740795725576845e-09|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9994240999221802,0,0.033935680985450745|-3.952237426219085e-10,1.0000001192092896,1.163955154481755e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9994815587997437,0,0.032196056097745895|-1.062047338962202e-09,1,3.296977268973933e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9995876550674438,0,0.028717469424009323|-1.5576656631210994e-09,1.0000001192092896,5.421868465305124e-08|Running
