Mt Freestyle|true|13238
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161535501480103,2.159381784494485e-09,0.4008274972438812|-5.187347440482881e-09,1,6.469179414381188e-09|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161534905433655,1.155114048856376e-08,0.4008276164531708|-2.7749063491455672e-08,1,3.4606550514126866e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161535501480103,2.0934891153956414e-08,0.4008274972438812|-5.029150429436413e-08,1,6.271987018635627e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161534905433655,3.031063045000337e-08,0.4008276164531708|-7.281471425812924e-08,1,9.080916640868963e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161535501480103,2.1044693099270262e-08,0.4008274972438812|-5.0555300390442426e-08,1,6.304887989472263e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161534905433655,1.1786665865543e-08,0.4008276164531708|-2.831492373900346e-08,1,3.53123112972753e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161535501480103,2.5365312072977986e-09,0.4008274972438812|-6.09352390767981e-09,1,7.599459728169222e-09|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161534905433655,-6.705709321153108e-09,0.4008276164531708|1.610889377445801e-08,1,-2.0089709451553972e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161535501480103,-1.594006882044141e-08,0.4008274972438812|3.8292348847335234e-08,1,-4.7755214893641096e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161534905433655,-2.5166544403987245e-08,0.4008276164531708|6.045686973266129e-08,1,-7.53970681444116e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161535501480103,-2.522795661263899e-08,0.4008274972438812|6.060437840460509e-08,1,-7.558104186955461e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161534905433655,-1.613602762517985e-08,0.4008276164531708|3.876311183148573e-08,1,-4.8342311487203915e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161535501480103,-7.051851103057061e-09,0.4008274972438812|1.6940482794325362e-08,1,-2.1126872695731436e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161534905433655,2.024571177372536e-09,0.4008276164531708|-4.86350382189471e-09,1,6.065313584713294e-09|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161535501480103,1.1093253426963656e-08,0.4008274972438812|-2.664887155390261e-08,1,3.323425801227131e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161534905433655,2.015419475753788e-08,0.4008276164531708|-4.841563949753436e-08,1,6.037998190322469e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161535501480103,2.9207406271325453e-08,0.4008274972438812|-7.016380720870075e-08,1,8.750251367928286e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161534905433655,2.3955070815873114e-08,0.4008276164531708|-5.754632681487237e-08,1,7.176700478339626e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161535501480103,1.3943300736229958e-08,0.4008274972438812|-3.3495453521936724e-08,1,4.177278256634054e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161534905433655,3.940073600716687e-09,0.4008276164531708|-9.465134453989776e-09,1,1.1804183408514746e-08|Running
