MT Cinlok|true|40325
-856.220703125,16.005916595458984,892.8727416992188|0.914304256439209,0,0.40502822399139404|1.2475206645490289e-08,1.0000001192092896,-2.8161332821241558e-08|Running
-856.220703125,16.005916595458984,892.8727416992188|0.906370222568512,0,0.42248448729515076|7.864442430616236e-09,1.0000001192092896,-1.6871853247835134e-08|Running
-856.220703125,16.005916595458984,892.8727416992188|0.8902631402015686,0,0.4554465711116791|4.454168145429094e-09,1,-8.706579457395947e-09|Running
-856.220703125,16.005916595458984,892.8727416992188|0.8894785642623901,0,0.4569770097732544|-2.286095757142448e-09,1.0000001192092896,4.449749457791086e-09|Running
-856.220703125,16.005916595458984,892.8727416992188|0.8846268057823181,0,0.46629974246025085|-6.581506006853033e-09,1,1.2485910083626095e-08|Running
-856.220703125,16.005916595458984,892.8727416992188|0.8846268057823181,0,0.46629974246025085|-1.2242132640949421e-08,1,2.3224799861054635e-08|Running
-856.220703125,16.005916595458984,892.8727416992188|0.8838102221488953,0,0.4678456783294678|-1.79831136648545e-08,1,3.3972014534811024e-08|Running
-856.220703125,16.005916595458984,892.8727416992188|0.8838102221488953,0,0.4678456783294678|-1.7429391263590333e-08,1,3.29259712827934e-08|Running
-856.220703125,16.005916595458984,892.8727416992188|0.8838102221488953,0,0.4678456783294678|-1.0629584323851304e-08,1,2.008041555257023e-08|Running
-856.220703125,16.005916595458984,892.8727416992188|0.8838102221488953,0,0.4678456783294678|-3.835591844136843e-09,1,7.245840816239024e-09|Running
-856.220703125,16.005916595458984,892.8727416992188|0.8838102221488953,0,0.4678456783294678|4.648730733691764e-09,1,-8.78194672537802e-09|Running
-856.220703125,16.005916595458984,892.8727416992188|0.8838102221488953,0,0.4678456783294678|9.734971939678871e-09,1,-1.839039676099219e-08|Running
-856.220703125,16.005916595458984,892.8727416992188|0.8838102221488953,0,0.4678456783294678|1.651155479009958e-08,1,-3.119208002999585e-08|Running
-856.220703125,16.005916595458984,892.8727416992188|0.8838102221488953,0,0.4678456783294678|1.560568030356535e-08,1,-2.948079114162283e-08|Running
-856.220703125,16.005916595458984,892.8727416992188|0.8838102221488953,0,0.4678456783294678|1.1316442893871681e-08,1,-2.137796428769434e-08|Running
-856.220703125,16.005916595458984,892.8727416992188|0.8838102221488953,0,0.4678456783294678|5.601735963978172e-09,1,-1.0582274612147557e-08|Running
-856.1452026367188,16.005916595458984,892.9126586914062|0.8838102221488953,0,0.4678456783294678|-1.0808398620554271e-10,1,2.0418214341511032e-10|Running
-855.7225952148438,16.005916595458984,893.1364135742188|0.8838102221488953,0,0.4678456783294678|-1.0088522905959962e-08,1,1.9058292721751968e-08|Running
-855.5382080078125,16.005916595458984,893.2340087890625|0.8838102221488953,0,0.4678456783294678|-1.2937333870866041e-08,1,2.443999846946099e-08|Running
-855.2520751953125,16.005916595458984,893.3854370117188|0.8838102221488953,0,0.4678456783294678|-1.720826503515127e-08,1,3.2508243208440035e-08|Running
-854.869140625,16.005916595458984,893.5880737304688|0.8838102221488953,0,0.4678456783294678|-1.9695919561968367e-08,1,3.7207687597629047e-08|Running
-854.486083984375,16.005916595458984,893.7907104492188|0.8838102221488953,0,0.4678456783294678|-1.2577559438398112e-08,1,2.376034657913806e-08|Running
-854.0072631835938,16.005916595458984,894.0440063476562|0.8838102221488953,0,0.4678456783294678|-3.6881675491429178e-09,1,6.967340482333384e-09|Running
-853.4326782226562,16.005916595458984,894.3479614257812|0.8838102221488953,0,0.4678456783294678|6.9665628821269365e-09,1,-1.3160578404836087e-08|Running
