paralel|true|1828
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,1.7903394322615895e-08,-0.26968708634376526|-2.039703339562493e-08,1,-6.444090594470708e-09|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,8.707042553623978e-08,-0.26968708634376526|-9.919784815792809e-08,1,-3.133981607561509e-08|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,-3.274364246408368e-08,-0.26968708634376526|3.7304275224414596e-08,1,1.1785637354932987e-08|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,-9.000907397194169e-08,-0.26968708634376526|1.0254579763113725e-07,1,3.2397561966490684e-08|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,4.900788042050408e-08,-0.26968708634376526|-5.5833844214703277e-08,1,-1.7639740335084753e-08|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,5.768057320665321e-08,-0.26968708634376526|-6.571449517878136e-08,1,-2.0761364183385922e-08|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,-5.7611334369767064e-08,-0.26968708634376526|6.563561782968463e-08,1,2.0736452555070173e-08|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,-5.243723322223559e-08,-0.26968708634376526|5.974084871240848e-08,1,1.8874102281074556e-08|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,7.607902574591208e-08,-0.26968708634376526|-8.667555562169582e-08,1,-2.7383681100445756e-08|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,2.6956444187931083e-08,-0.26968708634376526|-3.071102128160419e-08,1,-9.70263158706075e-09|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,-7.700430160184624e-08,-0.26968708634376526|8.772970971904215e-08,1,2.7716732020621748e-08|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,-3.3132685928194405e-08,-0.26968708634376526|3.7747511782981746e-08,1,1.192569332175708e-08|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,1.0612234291329514e-07,-0.26968708634376526|-1.2090340817394463e-07,1,-3.81974345486924e-08|Running
